date,cumulative_return
2022-01-28,1.0
2022-02-28,0.9755274296497989
2022-03-31,1.0641766970177302
2022-04-30,0.9305111383954969
2022-05-31,0.8618399411239287
2022-06-30,0.8189541406245603
2022-07-31,0.8692877624113872
2022-08-31,0.9231933325515345
2022-09-30,0.9672718837676729
2022-10-31,1.1521020470275138
2022-11-30,1.0652191401438817
2022-12-31,1.0257037000415725
2023-01-31,1.0838520792618211
2023-02-28,1.0041459599026799
2023-03-31,1.0411788407808458
2023-04-30,1.0872822917835683
2023-05-31,1.1070031246129108
2023-06-30,1.1569327472968205
2023-07-31,1.190889059562918
2023-08-31,0.8890055650197627
2023-09-30,0.9038097606947763
2023-10-31,0.8559154914873105
2023-11-30,0.9259759954524575
2023-12-31,0.9789781512662216
2024-01-31,0.8675057159952518
2024-02-29,0.9456443780531797
2024-03-31,0.9577800382484616
2024-04-30,0.9390298397299861
2024-05-31,0.8969864069823456
2024-06-30,0.9559129342679146
2024-07-31,1.0734343847533006
2024-08-31,1.1192002698346588
2024-09-30,1.1034975850261985
2024-10-31,1.0706099326859861
2024-11-30,1.0510492831728624
2024-12-31,0.9989443082047631
2025-01-31,1.0197862090847885
2025-02-28,0.8893005055668669
2025-03-31,0.9017029572298366
2025-04-30,0.9293559610156821
2025-05-31,0.8179520265832743
2025-06-30,0.8297253842127308
2025-07-31,0.755577324297958
2025-08-31,0.8429012051482988
2025-09-30,0.8544666898642674
2025-10-31,0.9270110995431371
2025-11-30,1.0255771589992773
2025-12-31,1.0666409929483214
2026-01-31,1.1403840960877918
2026-02-28,1.1666322394255386
2026-03-31,1.1399031238769997
2026-04-30,1.0448543723843802
2026-05-31,0.9527219934228208
