date,cumulative_return
2022-01-28,1.0
2022-02-28,1.0568127997114865
2022-03-31,1.1321364267467922
2022-04-30,1.031750558672045
2022-05-31,0.9565499224141552
2022-06-30,0.8447524185248368
2022-07-31,0.853277994595935
2022-08-31,0.8834506664275483
2022-09-30,0.9471412276958551
2022-10-31,1.0237850252860379
2022-11-30,1.099677747210557
2022-12-31,1.1017037143210047
2023-01-31,1.1070293742016393
2023-02-28,1.0180868599790414
2023-03-31,1.0397607463359118
2023-04-30,1.0918898518897244
2023-05-31,1.1924420824169613
2023-06-30,1.2616399860122804
2023-07-31,1.2902778093594198
2023-08-31,1.1869960358306706
2023-09-30,1.20369177990887
2023-10-31,1.1346120946812903
2023-11-30,1.1808570340561233
2023-12-31,1.2481567548617871
2024-01-31,1.08228853006761
2024-02-29,1.1423496198785015
2024-03-31,1.0895162476757148
2024-04-30,1.0853771884669436
2024-05-31,1.0768800961828444
2024-06-30,1.1306455586954292
2024-07-31,1.1693278929072157
2024-08-31,1.240449548888129
2024-09-30,1.2378648441831421
2024-10-31,1.2183548979503047
2024-11-30,1.147542932668574
2024-12-31,1.0319920959181699
2025-01-31,1.0645350085922962
2025-02-28,1.0140783454154658
2025-03-31,1.100619408819105
2025-04-30,1.1573574063381247
2025-05-31,1.1405890527030929
2025-06-30,1.1646109373866773
2025-07-31,1.2004242419404547
2025-08-31,1.2620974126158988
2025-09-30,1.2771901823777023
2025-10-31,1.2586289850872003
2025-11-30,1.3878548749353807
2025-12-31,1.5077803043409983
2026-01-31,1.5817059840390852
2026-02-28,1.6187922779294943
2026-03-31,1.5641165992971628
2026-04-30,1.4811708302096382
2026-05-31,1.3270405682875903
