date,cumulative_return
2022-01-28,1.0
2022-02-28,1.046265499588653
2022-03-31,1.181576063979183
2022-04-30,1.1515474980605542
2022-05-31,1.1381147524954927
2022-06-30,0.9835470747317009
2022-07-31,0.9823151392455366
2022-08-31,1.0155971401224608
2022-09-30,1.0578584259555779
2022-10-31,1.210673491227255
2022-11-30,1.3044316135684286
2022-12-31,1.314957803005943
2023-01-31,1.450652196172433
2023-02-28,1.2230054469413583
2023-03-31,1.2511458662007784
2023-04-30,1.2867369229034682
2023-05-31,1.2767255738674514
2023-06-30,1.360133683194699
2023-07-31,1.4021381726794329
2023-08-31,1.3005826113912433
2023-09-30,1.3336618692922797
2023-10-31,1.2921561844591054
2023-11-30,1.3506352535334725
2023-12-31,1.4256720670320984
2024-01-31,1.1879221376835862
2024-02-29,1.2471265180773348
2024-03-31,1.197457625167585
2024-04-30,1.1846686454333393
2024-05-31,1.1621584301069239
2024-06-30,1.2326425634015994
2024-07-31,1.3709051967862853
2024-08-31,1.450252651934604
2024-09-30,1.4456074081263324
2024-10-31,1.4155005950285378
2024-11-30,1.3642878080508978
2024-12-31,1.3252604465177231
2025-01-31,1.3526727660691265
2025-02-28,1.317719664558903
2025-03-31,1.3272512697891137
2025-04-30,1.3986489929172723
2025-05-31,1.254533207582857
2025-06-30,1.2597404152716865
2025-07-31,1.231006413273448
2025-08-31,1.2760416115124409
2025-09-30,1.3051349002482096
2025-10-31,1.3629785688465843
2025-11-30,1.5482730644879024
2025-12-31,1.5455494043776798
2026-01-31,1.6063400776983014
2026-02-28,1.718881032581111
2026-03-31,1.475534646037839
2026-04-30,1.3555823819143233
2026-05-31,1.1238938585315945
