Date,VIVT3.SA,WEGE3.SA,TOTS3.SA,VALE3.SA,CSNA3.SA,RADL3.SA,PCAR3.SA,PINE4.SA,ABEV3.SA,MRVE3.SA
2010-02-28,-0.05149051412905059,-0.02160630519932838,-0.05521946424473123,0.03148643491779235,0.07545471214388377,0.029630233504107206,0.0,-0.0018347462505310386,-0.005800118066945359,0.07818932293652203
2010-03-31,-0.06942914822355895,0.0784540701750962,0.03769068859035607,0.132804850026369,0.20608633649644847,0.031258675450917206,1.3066746820283912,-0.025735001891449283,-0.0650537041416357,-0.052671958714221034
2010-04-30,-0.017439899912678802,-0.06578963769743551,0.06705940830061818,-0.06427372304938939,0.003644403320699041,0.050007865651001904,0.03334373737970697,-0.010944388348309242,0.06585506611750169,-0.008863771331063197
2010-05-31,0.01578215514221082,-0.042254031601838826,0.08619272509984577,-0.05838030192475574,0.029588479151693825,-0.013356215978986397,0.006599621911348441,-0.06794242212275126,0.0012238337818457623,-0.003950637365636611
2010-06-30,0.08363644480824695,-0.01477467596066473,0.031972105219580715,-0.12699986402365926,-0.2653628964882435,0.1703998189238196,0.0,-0.01950726612670728,0.05906272130330237,0.0752962191565325
2010-07-31,0.07382537382923382,0.09887692544063009,-0.03762595115862577,0.11225614942049522,0.11178691470443103,0.0608698020957239,0.0,0.1590824812267062,0.04634649748971653,0.2407553927882664
2010-08-31,0.046590870677948315,-0.06798297358671357,0.00845567723480345,-0.034397238193422774,-0.0800274506132721,0.010655559183081698,0.00659975503196053,0.1550459358931202,0.023096074295085867,-0.07102102995226423
2010-09-30,0.026058730752756443,0.09123600971007262,-0.0007691782657841539,0.1156141502265966,0.09033457140298062,0.17305466628418387,0.0,0.09213689855544538,0.049927386785014516,0.09624587139121465
2010-10-31,0.05644198241152054,0.1875675348188297,0.2086219761790986,0.024856428545712905,-0.03682251485818222,-0.00393544655167255,0.0,0.08557761117213869,0.11693652927687781,0.03362398531584776
2010-11-30,-0.0516702143412735,0.02731015217984578,0.08509550861938497,-0.0007461230528120755,-0.07575188500912278,-0.024401590717682553,0.006599601844470504,-0.040567899107014416,0.029860674222752293,0.02108422355162931
2010-12-31,0.06532876880580352,-0.03199368101889477,-0.0037286204093485154,0.03304709838510145,0.02144741272423678,-0.032873236536065,0.0,0.05708265175629479,0.09325428524023183,-0.0691032836386195
2011-01-31,0.01630976587236388,-0.08899103360748961,-0.04142006085148575,0.0371637640013367,0.03862042800333132,-0.1111107266992073,0.0,-0.06062468505783414,-0.12511572813703042,-0.09673286652088797
2011-02-28,0.039050285318764866,0.017529613867463212,-0.031172706337006306,-0.013665173937000952,-0.03790624532093645,0.05833306443887287,0.0,0.0,-0.01369481989178345,-0.06312056238431896
2011-03-31,-0.022763219538009527,0.04841643315591515,0.011930434431116632,-0.05239794401803677,0.0011257490944660553,0.008268285556231936,0.0,-0.028077358339442693,0.05111439874276491,-0.024981072074198196
2011-04-30,0.10926632345113085,-0.05966584734186531,-0.04458600260159662,-0.017582070986954523,-0.08320839758356569,-0.11315202129941437,0.03833691543561413,0.018303519632368204,0.08711322742706851,0.05590076597843008
2011-05-31,0.1067704255852231,-0.0862943638874698,0.05000034738474923,-0.02973576101981179,-0.04944504392024274,-0.008849019198768238,0.007437209430535052,-0.04562196756164005,-0.024711108515847235,0.08433563309425907
2011-06-30,-0.022353480319771912,-0.006745643940760826,-0.08571456009189105,-0.015123924087651064,-0.12931008785371,-0.04501913458622553,0.0,-0.07478800360364968,0.045719950713269286,-0.10927848076478763
2011-07-31,-0.005294133081444219,-0.04573826264853453,-0.07638877680863587,0.012931830831170998,-0.13496616896616898,0.145539311213287,0.0,-0.12022040730501682,-0.1120717731994777,-0.08564808040080618
2011-08-31,0.08032910905578783,0.01834265737269436,0.07518799547218746,-0.08681846959041528,-0.04819269512093949,0.024590291308703716,0.007437400983171916,-0.007729500745080831,0.20370378158033797,0.13080170001298952
2011-09-30,-0.017021696095947947,0.09138217242940638,0.11888108550674481,-0.047991263763937364,-0.06582290535579038,-0.09999971935618879,0.0,0.04186933732197762,0.010769126556476438,-0.2813433455287654
2011-10-31,0.06282944605898022,0.031015596746297724,-0.1218748490519338,0.02485323875063905,0.1111111345135758,-0.039999824846470355,0.0,0.10037971551921832,0.024123088527270298,0.33748727473976525
2011-11-30,-0.015486305034810743,-0.07157702637019647,0.16014216327692865,-0.04712839508229527,-0.1006098333470975,0.1666667357771061,0.008323839817192313,0.062226103328390625,0.0698874231794755,-0.09549703770773521
2011-12-31,0.07393238438387684,0.05394421860360299,0.027177934555733696,-0.05282136295364526,0.015593096547297014,0.033186633599495474,0.0,0.09323415828305848,0.10080666537972216,-0.08154502668225405
2012-01-31,-0.07773743332582883,0.03727331044584625,-0.09681275721162008,0.13307958157345268,0.21829135448832937,0.11796410660047019,0.0,0.029062076968434214,-0.04761896422617462,0.2570093118945529
2012-02-29,0.07110107822380507,-0.012271081825342312,0.061251127739210265,-0.025726643009647332,-0.04054784539461731,0.15310320804993682,0.0,0.10704957915662305,0.11769228673241483,0.029740114861793954
2012-03-31,0.09164907857179294,0.040093018713081685,0.07020019812583844,-0.014925725074952267,-0.01656236196009675,0.07277056610527155,0.0,0.07921546709722826,0.0976695853029772,-0.06498206143109608
2012-04-30,-0.029151550613194965,0.01717198632358996,0.10237431682545206,0.01799889366135843,-0.0021247570848654806,0.15718376024826775,0.034828466454121854,-0.04112704087132413,0.07114134689774354,-0.14362957653525898
2012-05-31,-0.09940566344181456,0.0327705185497118,-0.017497018134941977,-0.11760554453362926,-0.20550435013711454,-0.09201585167196213,0.0,-0.01302706125113584,-0.07150281371071321,-0.18464030362325545
2012-06-30,0.037778789258079204,-0.05978096527923249,0.060274468391018354,0.06757093130876113,-0.12394159501330726,0.08883942790384514,0.009097145856143518,-0.01164579505502028,0.01501304248947144,0.07390308521656364
2012-07-31,-0.024342161739656865,-0.044973722084643675,-0.023255709558240745,-0.07425888275860348,-0.07469256333023844,0.15555561514782723,0.0,0.07618777562362578,0.01804933819610688,0.19892464376360697
2012-08-31,-0.11440814389608944,0.0858997844317353,0.043650385584422136,-0.09071310854914116,-0.05603027109427927,-0.07692324578610399,0.009097166199696582,0.0677587518500935,-0.008242528780968983,0.04304945123009629
2012-09-30,0.02005175236152512,0.1785033104046485,0.0674271105685238,0.08022473950124875,0.14889337692637317,0.08034792811422586,0.0,0.0034866132112125747,-0.00015681067670825222,0.042992050096508194
