Date,PETR3.SA,WEGE3.SA,TOTS3.SA,VALE3.SA,CSNA3.SA,RADL3.SA,PCAR3.SA,VIVT3.SA,ABEV3.SA,MRVE3.SA
2010-02-28,0.012559082918081055,-0.021607120398110413,-0.055220166230979584,0.03148653169517224,0.07545454225470571,0.029629461677083357,0.0,-0.05149118435582589,-0.005799701886413544,0.07818933499216074
2010-03-31,0.025839411819511993,0.07845411073869424,0.03769086550002587,0.13280472742244065,0.2060860477292632,0.03125918577610509,1.3066749187024582,-0.06942810629969254,-0.06505380804542793,-0.05267175174073224
2010-04-30,-0.06348583098546712,-0.06578954938265835,0.06705940269007327,-0.06427363203650527,0.0036447831166299682,0.050007865651001904,0.033344041770497546,-0.017440848235516948,0.06585535269297815,-0.008863770662048243
2010-05-31,-0.07176784342841802,-0.04225379127208295,0.08619279674904345,-0.05838074820605177,0.029588414412729636,-0.013356063644668681,0.006599321410673875,0.015782252683766762,0.0012233730743971272,-0.003950560912330814
2010-06-30,-0.09037522566261513,-0.014774075135060127,0.03197195623279314,-0.12699970688888762,-0.2653630797026747,0.170400101407586,0.0,0.08363702508767878,0.05906325388388978,0.07529628409755706
2010-07-31,0.03354804247644605,0.09887633452568179,-0.03762595115862577,0.11225638425263451,0.11178727510951947,0.06086918437683275,0.0,0.07382533975840033,0.04634631464101813,0.24075527033365574
2010-08-31,-0.07066564763579086,-0.067982421001752,0.008455531867076926,-0.0343974346659347,-0.08002744462939093,0.010656307262558729,0.006599754380946177,0.04659086002863777,0.02309594853231145,-0.07102125103062151
2010-09-30,0.02737400459277306,0.09123430180663505,-0.0007691063022247091,0.11561416219451504,0.09033456406083351,0.1730538937627475,0.0,0.026058838054198397,0.04992705684377752,0.0962461300070876
2010-10-31,-0.06085543521214032,0.18756851955068865,0.20862206335689426,0.024856894794024198,-0.03682258665672755,-0.0039354469644479195,0.0,0.05644149076522065,0.11693680560936492,0.03362409407129663
2010-11-30,-0.0366962371371965,0.02731056754390626,0.08509526990154792,-0.0007463038583900294,-0.07575196240236359,-0.024401698588114695,0.006599307211406336,-0.05167039665461626,0.029860641233191876,0.021084001203325542
2010-12-31,0.12408783858355132,-0.031993973794502084,-0.0037281812353894273,0.03304709239660286,0.02144774946592909,-0.032873027762966744,0.0,0.0653292481143346,0.09325390281526014,-0.0691032836386195
2011-01-31,-0.01636696730281617,-0.0889912488041289,-0.04142038293566341,0.037163494361138305,0.03862009059246141,-0.11111055929402336,0.0,0.016309750502890852,-0.1251150496778609,-0.09673309561255106
2011-02-28,0.08485852435639418,0.017529393658995973,-0.031172709927510867,-0.013665090528243828,-0.03790616938296065,0.058332990676060126,0.0,0.03905067830091258,-0.013695042140646652,-0.06312032476765517
2011-03-31,0.0060283189856595865,0.0484172379649519,0.011930673623620658,-0.05239785828210397,0.0011257490944660553,0.00826769140753747,0.0,-0.022763486512384357,0.051113803197344376,-0.024981072074198196
2011-04-30,-0.11043257655035577,-0.05966583469301512,-0.04458593862070048,-0.017581978919467334,-0.08320839758356569,-0.1131514862497498,0.038337020253022436,0.10926573406836315,0.0871134578296684,0.0559006965661466
2011-05-31,-0.06436613521418355,-0.08629485168680018,0.05000003074200743,-0.02973584763867365,-0.04944486515012403,-0.008849283370571337,0.007437210127837046,0.10677080894958157,-0.024710770990596265,0.08433570437578464
2011-06-30,-0.021617799905305324,-0.006745337598126344,-0.08571427734911385,-0.015124207407396173,-0.12931043967281608,-0.04501920754110078,0.0,-0.022352736201837198,0.04571947568586632,-0.10927842014010247
2011-07-31,-0.00952359036375483,-0.045737890027302,-0.07638889022317741,0.012931833323808206,-0.13496619811889687,0.14554032298701847,0.0,-0.00529487683872798,-0.11207169861113941,-0.08564814263383003
2011-08-31,-0.11010157844076707,0.01834245496972997,0.07518764354407814,-0.08681839096557975,-0.0481928320054934,0.024589846501892998,0.007437122476132263,0.08032843755884422,0.20370401768716873,0.13080162557507946
2011-09-30,-0.08932460702096712,0.09138132410604927,0.11888111617508779,-0.04799116457285446,-0.06582240656890048,-0.09999981489455168,0.0,-0.017020964221371893,0.010769198422931447,-0.2813432323937941
2011-10-31,0.10430619839431632,0.03101620047737952,-0.12187493479330236,0.02485323875063905,0.11111090828977899,-0.03999988588483672,0.0,0.06282968917590148,0.024123006336542963,0.3374871522285394
2011-11-30,0.05389841045034793,-0.07157691277948852,0.16014241276056573,-0.047128715451155156,-0.10060965014432466,0.16666637870652212,0.008324120031098614,-0.015486988128332935,0.06988785661270969,-0.09549696922255413
2011-12-31,-0.04643471808059829,0.05394396730763562,0.02717805079198965,-0.05282104449873437,0.01559295384633752,0.03318652298801217,0.0,0.0739328811663873,0.10080620801116846,-0.08154509622381778
2012-01-31,0.1791547934268325,0.03727366303035429,-0.09681325296161047,0.13307981821595916,0.21829149284097693,0.11796483519860601,0.0,-0.0777374907209345,-0.04761894648220677,0.2570094767710456
2012-02-29,-0.04496454253195881,-0.012271302907536308,0.06125195420014751,-0.025727159758988316,-0.040548295041267,0.15310346864837232,0.0,0.07110084911582892,0.11769214815673812,0.0297395207153881
2012-03-31,-0.04979333718707679,0.04009358523710893,0.07020029692433782,-0.014925086782546781,-0.01656177603001474,0.07276999355993352,0.0,0.09164868485436739,0.09766936497969159,-0.06498170826890948
2012-04-30,-0.07860089656110225,0.017171541221753905,0.10237374686040512,0.01799834375675613,-0.002124696395646719,0.15718334566175418,0.03482837802825389,-0.02915109465772936,0.07114161241776862,-0.14362938197361275
2012-05-31,-0.10691657297096402,0.032770729236224705,-0.01749643700788739,-0.11760567655569165,-0.20550471031277895,-0.09201566967541197,0.0,-0.0994053838090535,-0.07150275379489346,-0.18464035379013988
2012-06-30,-0.045454652930647654,-0.05978084298164632,0.060273948696245805,0.06757131924524029,-0.12394161382879754,0.0888390473459233,0.009097147466943678,0.03777829946330513,0.01501302796408388,0.0739029804562421
2012-07-31,0.060846711567662304,-0.04497425370940811,-0.023255618212380758,-0.0742587125674482,-0.07469231634331641,0.1555557665445162,0.0,-0.024342199246080498,0.01804939509195136,0.19892464376360697
2012-08-31,0.06234428522393731,0.085899332403508,0.0436504813318388,-0.09071345955837695,-0.0560305467598845,-0.07692264752836087,0.009097167795978578,-0.11440738319497756,-0.008242605083734533,0.04304922393186694
2012-09-30,0.09389635015449627,0.17850329897361128,0.06742728786817076,0.08022509269458311,0.14889360485612801,0.08034777038202057,0.0,0.020050724787100238,-0.00015665457729907573,0.0429922047432556
2012-10-31,-0.07725296784188651,-0.012277010818053213,-0.019235413706130466,0.04441217108132256,-0.016637696755657738,-0.040360573111647535,0.0,-0.03956207516590293,0.07990150048798128,-0.1508655530085664
2012-11-30,-0.11162791710472364,0.16802402524221915,-0.03171911721069676,0.004005446049415884,-0.06589476981819642,-0.06040257767789037,0.009097143779247974,0.06798069143835517,0.13762808293106965,0.09805818450302417
2012-12-31,0.023559899765118075,-0.007023354758731948,0.016298223561238334,0.12446823575050314,0.15105309482308749,0.09857121502977684,0.0,0.08312666378738687,0.08895394656223887,0.059239629059435917
2013-01-31,-0.0675186989233646,-0.06444392558113743,0.07378039853512108,-0.04777686709987661,-0.09359184339077731,-0.03554418624260358,0.0,0.03728546886625139,0.07562701993536214,-0.04841383630839213
2013-02-28,-0.2051565859938913,0.05750602584736142,0.00876169406297711,-0.06110250316120813,-0.06976762204311271,0.02561857130320533,0.0,0.04806422326546578,-0.023096932804433368,0.11403509486973573
2013-03-31,0.16632137292286764,-0.014540063103840484,-0.04212192650537783,-0.07063488146123031,-0.08699998973409162,-0.0551898838830005,0.0,0.023690496465094357,-0.06151891572058377,-0.33937017919960577
2013-04-30,0.13550342926717707,0.006528161092557383,-0.08783769053737811,-0.019374365892445122,-0.12595223888513196,0.007424889304009641,0.05655110033685262,0.018633729928630327,-0.0014648427465406844,0.02979748860210729
2013-05-31,-0.01146429283633954,0.0801222847344043,-0.001322861596440572,-0.11198574602539024,-0.1643488294406723,0.05849803384444607,0.010768995281673632,-0.014989554771401403,0.003055844471803848,-0.20177952833049118
2013-06-30,-0.21982092902835415,-0.0034612341845646766,-0.07311276912137465,-0.050574896054487506,-0.09833582235759075,-0.06249812052398007,0.0,-0.021738767621994226,0.010116167022803157,-0.013636527610616733
2013-07-31,0.0391890935624144,0.0013470025278483622,0.028865487897788755,0.07298515345623824,0.10234872046885024,-0.10232558803313807,0.0,-0.0253335734556126,0.037523954411647686,-0.0030718270164799
2013-08-31,0.043563129909000464,0.0,0.04071763511701776,0.10702766494537674,0.3231245253067918,-0.12538860252683148,0.010768905691455943,-0.06520745288400709,-0.0289567119742995,0.28659455704189973
2013-09-30,0.056697716396145514,-0.03302747415040064,0.0042861226325292545,0.0034944973824664327,0.11294107201465131,0.08691906081836187,0.0,0.05129641794719264,0.021994068769547237,0.09101783872608071
2013-10-31,0.15212305877828025,0.07777770332505596,0.013070247677644087,0.06519844102315964,0.29492603821258134,-0.10529201979091152,0.010768953485847499,0.033087948569320735,-0.014525266583476415,0.059275528321425464
2013-11-30,-0.06243612502700968,0.0824744802360644,-0.029752600054062772,0.003356356937734839,0.035510626215343954,0.030487986693626734,0.0,-0.06937302951148461,0.05212668777427165,-0.04145072901890334
2013-12-31,-0.1271835363575763,-0.008088623047970978,0.0061171437647074,-0.004460515264938292,0.20738871477808085,-0.12305407228381182,0.0,-0.01796374627854047,-0.013666924800218583,-0.08864876401766297
2014-01-31,-0.13883678671607314,-0.12066749333063742,-0.14204536927955425,-0.07448878566074613,-0.2218358134439692,-0.016914948051250933,0.0,0.018971695884917095,-0.056917376563967115,-0.02135228518150678
2014-02-28,-0.05664487647069971,0.1265945525035017,0.020498209808823775,-0.0015129982872547076,-0.11260063860220448,0.13764598773617354,0.0,-0.04206861685608232,0.04909882583328273,-0.015757271557927388
2014-03-31,0.15165502581232926,0.03903199706703231,0.12558409824793992,-0.047878842445758574,0.02090586366035141,0.18909214107654182,0.0,0.12339174458524793,0.004147040774650668,-0.0036949070697667175
2014-04-30,0.08680495751479822,0.10356470810817164,0.023876602700419136,-0.03298228806051484,-0.13008122023790114,-0.032093967437066384,0.05071428633476316,-0.028093582636474657,-0.03370286449157056,-0.12731761895063654
2014-05-31,-0.00446439331453341,-0.033444591288435355,0.07160505966598874,-0.0368864101880334,0.0035046594712000445,0.0,0.011606765656612339,-0.04276548696665683,-0.028186318446712377,0.023364640626483357
2014-06-30,0.040358864491353064,0.09040479468384599,-0.027138045286710266,0.027406725301682533,0.0942955318657781,-0.03660232593818591,0.0,0.024415791827913313,-0.006305005283554377,0.0858809592200449
2014-07-31,0.10775843694054843,-0.03313558071656808,0.031315977063663736,0.11320111353517115,0.21808542829131317,0.04002157205989354,0.0,-0.01166341908424906,0.00413965506780567,-0.024128901539980596
2014-08-31,0.22734842558330448,0.02757352074471142,0.060206248785780625,-0.10291864999664013,-0.14061152264585863,0.1539268469524706,0.01160680693341476,0.08155988359426058,0.04467117829436562,0.25274747438268874
2014-09-30,-0.21874941778274404,0.024768637553710393,-0.1009419840194049,-0.08047920851268109,-0.11585366012688358,-0.04025711256838438,0.0,0.011046641642280752,-0.020158520293512505,-0.09978080000202294
2014-10-31,-0.1507247877296919,0.02310074097581749,-0.029814683319280277,-0.033940142173884746,-0.05172384633779503,0.07402159428060151,0.0,0.01930969064152599,0.037069136273131686,-0.0012179025970061597
2014-11-30,-0.16860094871403553,0.0424224252474672,-0.016888036501489623,-0.0683998668370398,-0.2666668671364434,0.08625972563252371,0.011606934592409246,0.017089670570636928,0.02195126963007854,0.036585286967663944
2014-12-31,-0.2126436533059679,0.003550193340185137,-0.012057367784653827,-0.05925316796886182,-0.06611557101498455,0.040788744022647094,0.0,-0.06762361948718365,-0.02804297460340277,-0.1282352353849724
2015-01-31,-0.16162672265680922,0.051803569938140726,-0.039759529213084566,-0.15061597008271232,-0.22902431038561633,0.01972385646860575,0.0,0.03815918743307578,0.16204267187374422,-0.07017543313631436
2015-02-28,0.17910441086881868,-0.040628521122490824,0.03366110212938711,0.1418591392856281,0.2309525027574828,0.10596055922109326,0.0,0.10195057436658939,0.03504836986582549,-0.01886789505617592
2015-03-31,0.010548614196216777,0.04272778649464337,0.08450660239641694,-0.15576476814390283,0.09069497561931295,0.008697661176037874,0.0,-0.06367756047751938,0.01427010693980435,0.18343175685126623
2015-04-30,0.48747346539150427,0.008804924714436613,-0.05434795584495711,0.3044054401445737,0.48155000198199116,0.19099089798276325,0.06622682191914286,0.03158635135008736,0.025432756550699764,0.025000141736143844
2015-05-31,-0.07017517816120544,0.06608485910662898,0.06867846585383441,-0.11479034968475832,-0.23536732833736673,0.04397539097018921,0.012446483613547388,-0.08632043361743547,-0.02216333592908548,-0.014593371657125043
2015-06-30,0.05886799877604565,0.11458585711401614,0.04866913624041613,-0.0877804533299339,-0.15472324564110496,0.1387963857138017,-0.01960232960679731,-0.031413655512415706,0.030364012666251217,0.01827675793090089
2015-07-31,-0.1746258822620761,-0.01146302503774932,-0.08333336916132994,-0.022963354079230336,-0.16184970259439968,0.07096934511895503,0.006637635130513964,0.045136053575375534,0.025276075593268832,-0.010256487874644726
2015-08-31,-0.08290150015772935,-0.10475660953011023,-0.10872499250035317,0.002797988962637721,-0.19540227266493426,-0.08335261401996719,0.0,-0.10499522163309205,-0.01951677206840996,-0.17487041105221546
2015-09-30,-0.19585666847065053,-0.07457877837959981,-0.04921117738060521,-0.07477679147399596,0.12000015855928514,-0.012136152113086385,0.0,-0.10091721379557328,0.025127831523138466,-0.043955805092022016
2015-10-31,0.09836045029484985,-0.06796070183840075,0.13370925967210923,0.0496226269323925,0.10714278130137322,0.0227627443294367,-0.24329496837349207,0.09512599316980141,-0.016992822799804852,0.21839058040115655
2015-11-30,0.003198205389518538,0.055555361254408187,-0.020485808463046373,-0.2280188584632713,0.2672812482560536,-0.008502383930675705,0.016953330273794975,-0.04276242970992594,-0.0235727506986535,0.11320741559992187
2015-12-31,-0.08926684223124948,-0.012675658821298064,-0.06700244677960299,-0.01063034452870315,-0.2727273251435556,-0.10220249439642748,0.0,0.057906711039607206,-0.0343346026406548,0.05084753688122934
2016-01-31,-0.19136523476696965,0.034112973107263356,0.044150641744755914,-0.25402895203835596,-0.11250007927963357,0.16910906448532415,0.0,-0.08343036698281303,0.04537818346188027,0.054147643701866865
2016-02-29,0.06060613921288227,-0.14202744401028944,-0.027777547552516157,0.2150206473846612,0.46478872924897274,0.1092094095799796,-0.0025319856684935527,0.09516109483013468,-0.04803011729587059,0.15847014033233808
2016-03-31,0.44625860493222413,0.06919539291864352,-0.13523833860649914,0.28281086531816135,0.371153889253355,0.13728130225464463,-0.26885421003040644,0.13094585307159745,0.0657592335056707,0.11037696934030361
2016-04-30,0.2483535976543949,0.08042708891443096,0.050148297529753805,0.29967053334078586,0.8429173483640708,0.05480981093297954,0.0023020657271124456,-0.009378885115619018,0.031383274232205105,0.021240463263931142
2016-05-31,-0.2328561880108243,-0.052041674376886116,0.05035418104224565,-0.27780630148226604,-0.5022831508936396,0.04905529143376741,0.16563408456205364,-0.030319746821411697,-0.014440551737246565,-0.15228058411472767
2016-06-30,0.13064830157840368,-0.040512001801947584,0.031060254486145356,0.14416311457725683,0.19571882662978912,0.09618777731482164,0.0,0.05734262643084409,-0.0031395614145471873,0.09634844794143671
2016-07-31,0.2172028179085881,0.11135336762062309,0.07727562003799182,0.13706230697641342,0.4156008524080934,0.04973115795344141,0.0,0.05540656960472057,-0.00646598450849889,0.2534694928214758
2016-08-31,0.05210564504876425,0.08509415103290374,-0.08032947306382476,-0.08432449340263481,-0.22312556290692587,-0.09957774618720794,0.0,0.004773963342100451,0.0207452636281531,-0.09225112760699594
2016-09-30,0.02713715859027599,0.07192170104492557,0.012666334344521468,0.051357644179737205,0.05697689404128692,0.1130792926864519,0.0,-0.026506890333729327,0.03282913184697667,-0.029267957083936702
