Date,VIVT3.SA,WEGE3.SA,TOTS3.SA,VALE3.SA,CSNA3.SA,RADL3.SA,BBAS3.SA,PCAR3.SA,ABEV3.SA,MRVE3.SA
2010-02-28,-0.052863388096615144,-0.021843139028272035,-0.056803276746519096,0.03100108720785604,0.07274347258676013,0.029199498648194298,0.0734607861249051,0.0,-0.005816615967406732,0.0752831639953547
2010-03-31,-0.07195683821936268,0.07552788004112905,0.036998090280486846,0.12469641206380469,0.18738041944110082,0.030780483570235544,0.009545079696007893,0.8358069715562583,-0.06726642802663718,-0.05410977376397906
2010-04-30,-0.01759442120248129,-0.06805317626613076,0.06490655447097411,-0.06643254685183418,0.003637779261002515,0.04879735056888436,0.0046791867779684086,0.0327998945150859,0.06377775198397087,-0.008903364390486529
2010-05-31,0.015659458869302617,-0.04317251524687378,0.08267865658280371,-0.0601537120734046,0.029159193023105684,-0.013445830604756483,-0.1288145174722491,0.006578039043630233,0.0012226947769218269,-0.003958232686301701
2010-06-30,0.08032224702474569,-0.01488484162238369,0.03147163239523395,-0.13581978973694975,-0.30837887085919663,0.1573458664831835,-0.05254991511657759,0.0,0.057384369850462864,0.07259602341670562
2010-07-31,0.07122766803378336,0.0942888051115257,-0.03835221962764026,0.10639074185209653,0.10596882011083046,0.05908854981189048,0.21425971420408915,0.0,0.045303936282023706,0.2157204964789057
2010-08-31,0.0455379016899852,-0.07040412037623948,0.00841998410045253,-0.035002852521569754,-0.0834113787388664,0.010599743122031826,-0.0631057839250217,0.006577974002782928,0.022834099743866076,-0.07366916885555755
2010-09-30,0.02572515873377375,0.08731038272933811,-0.0007694022162127072,0.10940525695589408,0.0864846766612379,0.15961068025795255,0.12723216755009084,0.0,0.048721068646506556,0.09189148774594559
2010-10-31,0.054906791938459994,0.17190724520890452,0.18948103943869388,0.02455234974189125,-0.03751727018827105,-0.003943316099583797,0.029743289900702352,0.0,0.11058944737068024,0.03307083796634894
2010-11-30,-0.05305397837021011,0.026943393157554573,0.08166778013818765,-0.0007462203976941242,-0.07877536518753131,-0.024704353712115764,-0.00216480689376375,0.006577823104624769,0.029423756819462472,0.02086534915521004
