Date,VIVT3.SA,WEGE3.SA,TOTS3.SA,VALE3.SA,CSNA3.SA,RADL3.SA,BBAS3.SA,PCAR3.SA,ABEV3.SA,MRVE3.SA
2012-02-29,0.06868688870744287,-0.012347215637380105,0.059449042024316404,-0.02606409720751822,-0.041392725737496014,0.14245700313505258,0.022399443911075862,0.0,0.11126592540189126,0.02930593954419312
2012-03-31,0.08768939474639438,0.039310472667783584,0.06784548707535713,-0.01503780266197891,-0.016700573923226675,0.07024442612229274,-0.05262926600394834,0.0,0.09318889012364126,-0.06718945014355895
2012-04-30,-0.029584700887735613,0.01702502876237909,0.09746610870377274,0.017838506857083672,-0.002127258294869686,0.14598902287205204,-0.09577277540942346,0.034235866404522176,0.06872523168546239,-0.1550516567111772
2012-05-31,-0.10470026573968627,0.032246283159960185,-0.01765160279324504,-0.12511641159613748,-0.23004769242988446,-0.09652836558325258,-0.1618275285428026,0.0,-0.07418819768099583,-0.2041263155536374
2012-06-30,0.037082089065890986,-0.06164304399374588,0.058527416057443,0.06538633405012939,-0.1323226804570337,0.08511231791675192,-0.00911788260675332,0.009056016877117637,0.014901667655945831,0.07129993646213988
2012-07-31,-0.024642651869729238,-0.046016312444990715,-0.023530679998344524,-0.07716059315578418,-0.0776292397170872,0.14458123717384952,0.10995764268230648,0.0,0.01788871421922567,0.18142476739055977
2012-08-31,-0.12149863599217131,0.08240872502181765,0.042725028399852066,-0.09509475111820824,-0.05766118574589027,-0.08004283834138805,0.06671938366654101,0.009055776197516078,-0.008276950858851242,0.04214866315367962
2012-09-30,0.01985232936321059,0.16424546509165205,0.06525117749635477,0.07716942857112774,0.13879921100747802,0.07728334370490386,0.07893781048256156,0.0,-0.00015682296230472314,0.04209362348341826
2012-10-31,-0.040366471016381654,-0.012353537326200408,-0.019422824783144013,0.043454445073355025,-0.0167773080819642,-0.041197664710966364,-0.134914983849547,0.0,0.07687018734614243,-0.16353780324325468
2012-11-30,0.06577011373235214,0.15531306264345146,-0.032232709351029704,0.003997206184600896,-0.06816644435414516,-0.06230398304918197,0.016141409229599238,0.009056015588433206,0.12894534156958795,0.0935434750980849
2012-12-31,0.07985179093482667,-0.00704758595074063,0.01616656315238279,0.11731012557921734,0.14067725797476877,0.09401046511559209,0.16854145981173044,0.0,0.08521730497991928,0.05755137762759022
2013-01-31,0.03660813253960224,-0.06661477303251159,0.07118559359457184,-0.04895577722174887,-0.09826557040192099,-0.036190940467061686,-0.04800866952198072,0.0,0.0729038927621105,-0.04962539687758475
