Ticker,Classic Markowitz,Markowitz + Linear Regression,Markowitz + MLP
PETR3.SA,0.0023451665450027284,0.0,0.006124881413447362
WEGE3.SA,0.0,1.0511624538324015e-17,1.5720931501039814e-17
TOTS3.SA,0.0540945749387676,0.05840016376989818,0.014991284067708374
VALE3.SA,0.0,0.0,0.0
EMBR3.SA,2.0057740190981832e-18,0.0,0.0
VIVT3.SA,0.27073739047986656,0.20968778320536396,0.18405393838128653
CSNA3.SA,1.4446993948369347e-17,1.4863828485820387e-17,8.348356728138384e-18
RADL3.SA,0.08976047507730688,0.09929502562765737,0.0485511197449435
PCAR3.SA,0.1266629533521699,0.13495202505854495,0.2237103189180656
PINE4.SA,0.4563994396068864,0.4976650023385355,0.5225684574745487
