Model,Sharpe,Annualized_Return,Annualized_Volatility,Cumulative_Return,Mean_Return,Volatility
Classic Markowitz,0.5432382927142524,0.33161416294279733,0.274755525425333,4.405089738951615,0.024153060465342154,0.07931508828282655
Markowitz + Linear Regression,0.5911017678390278,0.35727886230966144,0.28560963480465934,4.861140162436049,0.025783613590261153,0.0824483997688104
Markowitz + MLP,0.5718321171273291,0.3432624944681457,0.27662106752885574,4.63437488804295,0.024896651143774002,0.07985362390065326
