Ticker,Modelo,MSE,R²,Correlação
CSNA3.SA,Ridge,0.031489166268730655,-0.49901026762334655,0.19239305458915346
CSNA3.SA,MLPRegressor,0.03398396568100081,-0.6177726985730432,0.28621494658163843
EMBR3.SA,Ridge,0.028914168124439157,-0.5902242740916306,-0.06795048130242376
EMBR3.SA,MLPRegressor,0.030739041142625167,-0.6905888205715767,0.06323873624366627
PCAR3.SA,Ridge,0.12503427045495638,-0.07792121443561206,-0.07586644178883414
PCAR3.SA,MLPRegressor,0.11999398374074832,-0.03446887167939083,0.0386689889684144
PETR3.SA,Ridge,0.023041946248187128,-1.8693588775366026,-0.16867450426931954
PETR3.SA,MLPRegressor,0.025894118298148,-2.2245330934499337,-0.09409642491102123
PINE4.SA,Ridge,0.05011050748983365,-0.6273655978061214,-0.19258053466133482
PINE4.SA,MLPRegressor,0.045443063066408475,-0.4757878376747726,0.0490109493601919
RADL3.SA,Ridge,0.007962946436895432,-0.6048961054731372,0.04616810656037032
RADL3.SA,MLPRegressor,0.010060123149246017,-1.027572656773995,0.13205144903527058
TOTS3.SA,Ridge,0.012107548567473694,-0.32339459270097737,0.14179506328712613
TOTS3.SA,MLPRegressor,0.01690894544507823,-0.8482029492252103,0.15192301361740015
VALE3.SA,Ridge,0.0114400910878404,-0.6235572046618305,0.08460133292317958
VALE3.SA,MLPRegressor,0.015305091960477076,-1.1720711950323484,-0.013311406430001994
VIVT3.SA,Ridge,0.004321787308292079,-0.2186258952566198,0.2353120505552205
VIVT3.SA,MLPRegressor,0.008877676271029722,-1.5032620584601188,-0.061061856851440506
WEGE3.SA,Ridge,0.012234246013915645,-0.5782888862688398,0.009088857930188562
WEGE3.SA,MLPRegressor,0.019086484057756814,-1.4622674443558616,-0.017749160848376074
